fold,network,expert,hc_mean,adhd_mean,shift,n_hc,n_adhd
1,SBN,mlp,0.18598527360109635,0.19394863645235694,0.007963362851260591,81,18
1,SBN,cheb,0.22851607461034515,0.2309675092498461,0.0024514346395009545,81,18
1,SBN,gt,0.31048726078904704,0.3160802804761463,0.005593019687099243,81,18
1,SBN,gcn,0.275011420065974,0.25900359120633865,-0.016007828859635365,81,18
1,VAN,mlp,0.20313889671255042,0.2066450640559196,0.003506167343369171,81,18
1,VAN,cheb,0.21605267660853303,0.2172186747193336,0.0011659981108005646,81,18
1,VAN,gt,0.3119585171893791,0.31428675684663987,0.0023282396572607555,81,18
1,VAN,gcn,0.26884993432480614,0.2618495167957412,-0.0070004175290649395,81,18
1,CBL,mlp,0.19031307855506,0.1750395380788379,-0.015273540476222092,81,18
1,CBL,cheb,0.22611199760878528,0.25661857591734993,0.030506578308564652,81,18
1,CBL,gt,0.31296537945299974,0.317345443699095,0.004380064246095272,81,18
1,CBL,gcn,0.27060957234582783,0.2509964663121435,-0.019613106033684324,81,18
2,SMN,mlp,0.23202925251454723,,,98,0
2,SMN,cheb,0.24709789622194914,,,98,0
2,SMN,gt,0.2710944155649263,,,98,0
2,SMN,gcn,0.2497784442135266,,,98,0
2,DMN,mlp,0.23295976966619492,,,98,0
2,DMN,cheb,0.24139645011449345,,,98,0
2,DMN,gt,0.26997099725567564,,,98,0
2,DMN,gcn,0.25567279223884853,,,98,0
2,FPN,mlp,0.26149518848681935,,,98,0
2,FPN,cheb,0.24993263960492854,,,98,0
2,FPN,gt,0.24557883307641867,,,98,0
2,FPN,gcn,0.24299334445778203,,,98,0
2,DAN,mlp,0.2468302242305814,,,98,0
2,DAN,cheb,0.24933402377123737,,,98,0
2,DAN,gt,0.2547612950509908,,,98,0
2,DAN,gcn,0.24907446804703498,,,98,0
2,VN,mlp,0.249906238396557,,,98,0
2,VN,cheb,0.25238715492340985,,,98,0
2,VN,gt,0.23965300619602203,,,98,0
2,VN,gcn,0.25805361097564505,,,98,0
2,LIN,mlp,0.2317526407387792,,,98,0
2,LIN,cheb,0.23057485949628206,,,98,0
2,LIN,gt,0.2608246573684167,,,98,0
2,LIN,gcn,0.2768478509114713,,,98,0
2,SBN,mlp,0.25166330973104556,,,98,0
2,SBN,cheb,0.24018300750425883,,,98,0
2,SBN,gt,0.26732431808296514,,,98,0
2,SBN,gcn,0.24082937304462707,,,98,0
2,VAN,mlp,0.2508703686144887,,,98,0
2,VAN,cheb,0.24387604347905334,,,98,0
2,VAN,gt,0.2668612679960776,,,98,0
2,VAN,gcn,0.2383923285773822,,,98,0
2,CBL,mlp,0.25154535594035166,,,98,0
2,CBL,cheb,0.23682888080270922,,,98,0
2,CBL,gt,0.2539801813509999,,,98,0
2,CBL,gcn,0.25764558798804577,,,98,0
3,SMN,mlp,0.19716912004001,0.19785729689257484,0.0006881768525648368,68,28
3,SMN,cheb,0.33048566474634056,0.32520835420915056,-0.005277310537189994,68,28
